FIELD1,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Point_Based_Result,Decision_Tree_Result
440,39,male,3,own,little,NA,1884,12,car,good,True,True
441,30,female,2,own,little,little,1620,12,furniture/equipment,good,True,True
442,29,male,2,own,little,moderate,2629,20,vacation/others,good,True,True
443,41,male,1,own,little,NA,719,12,education,bad,False,False
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad,False,False
445,41,female,1,rent,NA,NA,1244,9,education,good,True,True
446,34,female,2,own,little,little,1842,36,car,bad,False,False
447,35,male,2,own,little,moderate,2576,7,radio/TV,good,True,True
448,55,female,3,own,NA,rich,1424,12,furniture/equipment,good,True,True
449,61,male,2,own,rich,moderate,1512,15,repairs,bad,True,True
450,30,male,3,own,NA,NA,11054,36,car,good,False,False
451,29,female,2,own,little,NA,518,6,radio/TV,good,True,True
452,34,male,2,own,little,NA,2759,12,furniture/equipment,good,True,True
453,35,male,3,own,little,NA,2670,24,car,good,False,True
454,31,male,2,own,little,little,4817,24,car,bad,False,False
455,29,female,3,own,little,NA,2679,24,car,good,False,True
456,36,male,2,rent,little,little,3905,11,car,good,True,True
457,35,male,2,free,little,little,3386,12,car,bad,False,False
458,27,female,2,own,little,little,343,6,domestic appliances,good,True,True
459,32,male,2,own,little,NA,4594,18,radio/TV,good,True,True
460,37,male,2,own,little,little,3620,36,furniture/equipment,good,False,True
461,36,male,2,own,little,little,1721,15,car,good,True,True
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,good,True,True
463,38,male,2,own,NA,moderate,754,12,education,good,True,True
464,34,male,2,own,little,NA,1950,18,business,good,True,True
465,63,male,2,own,little,little,2924,24,car,good,True,True
466,29,female,1,rent,little,little,1659,24,radio/TV,bad,False,False
467,32,male,2,own,NA,NA,7238,48,radio/TV,good,False,False
468,26,female,2,own,little,NA,2764,33,business,good,False,True
469,35,male,1,own,little,NA,4679,24,car,good,False,True
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad,False,True
471,23,female,2,own,little,little,448,6,education,bad,False,False
472,28,male,1,own,little,little,654,9,car,bad,False,False
473,36,male,3,own,NA,NA,1238,6,education,good,True,True
474,33,male,2,own,little,moderate,1245,18,radio/TV,bad,False,False
475,26,female,2,rent,little,little,3114,18,furniture/equipment,bad,False,False
476,24,male,2,own,quite rich,NA,2569,39,car,good,False,True
477,25,male,2,own,little,rich,5152,24,radio/TV,good,False,True
478,39,male,1,own,moderate,moderate,1037,12,business,good,True,True
479,44,male,2,own,little,little,1478,15,furniture/equipment,good,True,True
480,23,female,1,own,little,moderate,3573,12,radio/TV,good,False,True
481,26,male,2,own,little,moderate,1201,24,car,good,False,True
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,good,True,True
483,30,female,2,own,rich,NA,960,15,furniture/equipment,good,True,True
484,44,male,2,own,quite rich,NA,1163,12,car,good,True,True
485,47,male,3,own,little,moderate,1209,6,car,bad,False,False
486,52,male,2,own,little,NA,3077,12,radio/TV,good,True,True
487,62,female,2,free,little,NA,3757,24,car,good,True,True
488,35,male,1,rent,moderate,NA,1418,10,car,good,True,True
489,26,male,2,rent,little,NA,3518,6,car,good,True,True
490,26,male,2,own,little,NA,1934,12,radio/TV,good,True,True
491,42,female,3,free,little,moderate,8318,27,business,bad,False,False
492,27,female,2,own,moderate,NA,1237,6,radio/TV,good,True,True
493,38,male,2,own,NA,moderate,368,6,radio/TV,good,True,True
494,39,male,1,rent,little,little,2122,12,car,good,True,True
495,20,male,2,own,NA,little,2996,24,furniture/equipment,bad,False,False
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad,False,True
497,40,male,2,own,little,NA,1585,24,furniture/equipment,good,False,True
498,32,male,1,own,little,moderate,1301,18,radio/TV,good,True,True
499,28,male,2,own,moderate,rich,1323,6,car,good,True,True
500,27,female,2,own,little,little,3123,24,car,bad,False,False
501,42,male,2,free,little,little,5493,36,car,good,True,True
502,49,male,2,own,moderate,rich,1126,9,radio/TV,good,True,True
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,bad,False,True
504,24,female,2,rent,little,little,1207,24,car,bad,False,False
505,27,male,1,own,NA,NA,1309,10,car,bad,False,False
506,36,male,2,own,quite rich,rich,2360,15,car,good,True,True
507,34,male,3,own,moderate,moderate,6850,15,car,bad,False,True
508,28,male,2,own,little,NA,1413,24,radio/TV,good,False,True
509,45,male,3,own,moderate,NA,8588,39,car,good,False,False
510,26,male,2,own,little,little,759,12,car,bad,False,False
511,32,male,3,free,little,NA,4686,36,car,good,False,True
512,26,male,2,rent,little,rich,2687,15,business,good,True,True
513,20,male,2,rent,little,moderate,585,12,radio/TV,good,True,True
514,54,male,2,own,NA,NA,2255,24,car,good,True,True
515,37,female,2,own,little,little,609,6,car,good,True,True
516,40,male,1,own,little,little,1361,6,car,good,True,True
517,23,female,2,rent,little,NA,7127,36,furniture/equipment,bad,False,False
518,43,male,2,own,moderate,little,1203,6,car,good,True,True
519,36,male,2,free,NA,NA,700,6,radio/TV,good,True,True
520,44,male,2,free,little,NA,5507,24,repairs,good,True,True
521,24,female,2,own,little,little,3190,18,radio/TV,bad,False,False
522,53,male,2,free,little,little,7119,48,furniture/equipment,bad,False,False
523,23,female,2,own,moderate,NA,3488,24,car,good,False,True
524,26,female,1,own,little,moderate,1113,18,radio/TV,good,True,True
525,30,male,2,own,little,moderate,7966,26,car,good,False,False
526,31,female,2,own,moderate,NA,1532,15,education,good,True,True
527,42,male,1,own,little,NA,1503,4,radio/TV,good,True,True
528,31,male,2,rent,little,little,2302,36,radio/TV,bad,False,False
529,41,male,1,own,little,little,662,6,car,good,True,True
530,32,male,2,own,little,moderate,2273,36,education,good,False,True
531,28,female,2,rent,moderate,moderate,2631,15,car,bad,False,True
532,41,male,2,rent,little,NA,1503,12,car,good,True,True
533,26,male,2,own,moderate,NA,1311,24,radio/TV,good,True,True
534,25,male,2,own,NA,NA,3105,24,radio/TV,good,False,True
535,33,male,2,rent,little,rich,2319,21,education,bad,False,False
536,75,female,3,own,NA,little,1374,6,car,good,True,True
537,37,female,2,own,little,moderate,3612,18,furniture/equipment,good,True,True
538,42,male,3,free,little,little,7763,48,car,bad,False,False
539,45,female,1,own,little,rich,3049,18,furniture/equipment,good,True,True
540,23,male,2,rent,little,moderate,1534,12,radio/TV,bad,False,False
541,60,male,2,free,little,NA,2032,24,car,good,True,True
542,31,male,2,own,NA,little,6350,30,furniture/equipment,bad,False,False
543,34,male,1,own,little,rich,2864,18,furniture/equipment,bad,False,False
544,61,male,1,own,little,NA,1255,12,car,good,True,True
545,43,male,2,free,little,little,1333,24,car,bad,False,False
546,37,female,2,own,little,NA,2022,24,car,good,False,True
547,32,male,2,own,little,NA,1552,24,radio/TV,good,False,True
548,24,female,1,own,little,little,626,12,radio/TV,bad,False,False
549,35,male,2,free,NA,NA,8858,48,car,good,False,False
550,23,female,2,own,NA,NA,996,12,repairs,good,True,True
551,45,male,1,own,quite rich,NA,1750,6,radio/TV,good,True,True
552,34,male,2,own,little,little,6999,48,radio/TV,bad,False,False
553,27,male,2,own,moderate,moderate,1995,12,car,good,True,True
554,67,female,3,own,little,moderate,1199,9,education,good,True,True
555,22,male,2,own,little,moderate,1331,12,radio/TV,bad,False,False
556,28,female,2,own,moderate,moderate,2278,18,car,bad,False,True
557,29,female,2,own,NA,NA,5003,21,car,bad,False,False
558,27,male,2,own,little,little,3552,24,furniture/equipment,bad,False,False
559,31,male,1,own,little,moderate,1928,18,furniture/equipment,bad,False,False
560,49,male,2,free,NA,little,2964,24,car,good,True,True
561,24,male,1,rent,little,little,1546,24,radio/TV,bad,False,False
562,29,female,2,own,little,rich,683,6,radio/TV,good,True,True
563,37,male,2,free,NA,moderate,12389,36,car,bad,False,False
564,37,male,3,own,NA,moderate,4712,24,business,good,False,True
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,good,False,True
566,36,male,2,own,little,little,1372,12,car,bad,False,False
567,34,male,2,own,rich,NA,2578,24,radio/TV,good,True,True
568,41,male,2,own,NA,moderate,3979,48,radio/TV,good,True,True
569,31,female,2,own,little,little,6758,48,radio/TV,bad,False,False
570,23,female,1,rent,little,little,3234,24,furniture/equipment,bad,False,False
571,38,male,2,own,little,NA,5954,30,radio/TV,good,False,True
572,26,female,3,rent,NA,NA,5433,24,car,good,False,True
573,22,female,1,own,little,little,806,15,business,good,True,True
574,27,male,1,own,little,moderate,1082,9,radio/TV,good,True,True
575,24,female,2,own,little,NA,2788,15,furniture/equipment,good,True,True
576,27,female,2,own,little,moderate,2930,12,radio/TV,good,True,True
577,33,female,2,own,NA,NA,1927,24,education,good,False,True
578,27,male,2,own,little,moderate,2820,36,car,bad,False,False
579,27,male,1,own,little,NA,937,24,education,good,False,True
580,30,male,2,own,little,moderate,1056,18,car,bad,False,False
581,49,male,1,own,little,moderate,3124,12,car,good,True,True
582,26,female,2,rent,little,NA,1388,9,furniture/equipment,good,True,True
583,33,male,1,rent,little,moderate,2384,36,repairs,bad,False,False
584,52,female,3,free,NA,NA,2133,12,car,good,True,True
585,20,female,2,rent,little,little,2039,18,furniture/equipment,bad,False,False
586,36,male,2,rent,little,little,2799,9,car,good,True,True
587,21,male,1,own,little,little,1289,12,furniture/equipment,good,True,True
588,47,male,1,own,little,little,1217,18,domestic appliances,bad,False,False
589,60,male,2,own,little,little,2246,12,furniture/equipment,bad,False,False
590,58,female,1,own,little,little,385,12,radio/TV,good,True,True
591,42,female,2,rent,NA,moderate,1965,24,car,good,True,True
592,36,female,1,own,rich,NA,1572,21,business,good,True,True
593,20,female,1,rent,little,moderate,2718,24,car,bad,False,False
594,40,male,3,own,NA,little,1358,24,vacation/others,bad,False,False
595,32,female,1,own,moderate,moderate,931,6,car,bad,False,True
596,23,female,2,rent,little,little,1442,24,car,bad,False,False
597,36,male,1,own,little,moderate,4241,24,business,bad,False,False
598,31,male,2,own,little,NA,2775,18,car,bad,False,False
599,32,male,2,free,little,NA,3863,24,business,good,False,True
600,45,female,2,own,little,moderate,2329,7,radio/TV,good,True,True
601,30,female,2,own,little,moderate,918,9,furniture/equipment,bad,False,False
602,34,female,1,free,little,moderate,1837,24,education,bad,False,False
603,28,female,3,own,little,NA,3349,36,furniture/equipment,bad,False,False
604,23,female,2,own,little,rich,1275,10,furniture/equipment,good,True,True
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,good,False,True
606,74,male,3,own,little,NA,4526,24,business,good,True,True
607,50,female,2,free,moderate,moderate,2671,36,radio/TV,bad,False,True
608,33,male,2,own,little,NA,2051,18,radio/TV,good,True,True
609,45,male,2,free,NA,NA,1300,15,car,good,True,True
610,22,female,2,own,moderate,little,741,12,domestic appliances,bad,False,True
611,48,female,1,free,moderate,rich,1240,10,car,bad,False,True
612,29,female,2,own,rich,little,3357,21,radio/TV,good,True,True
613,22,female,2,rent,little,little,3632,24,car,good,False,True
614,22,female,2,own,little,NA,1808,18,furniture/equipment,bad,False,False
615,48,male,3,own,NA,moderate,12204,48,business,good,False,False
616,27,male,3,free,NA,moderate,9157,60,radio/TV,good,False,False
617,37,male,2,rent,little,little,3676,6,car,good,True,True
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad,False,True
619,49,male,1,own,little,NA,640,12,car,good,True,True
620,27,male,2,own,little,moderate,3652,21,business,good,True,True
621,32,male,2,own,little,NA,1530,18,car,bad,False,False
622,38,male,2,own,NA,NA,3914,48,business,bad,False,False
623,22,female,2,rent,little,little,1858,12,furniture/equipment,good,True,True
624,65,male,2,free,little,little,2600,18,radio/TV,bad,False,False
625,35,male,2,own,NA,NA,1979,15,radio/TV,good,True,True
626,41,male,2,own,little,rich,2116,6,furniture/equipment,good,True,True
627,29,male,2,own,moderate,moderate,1437,9,car,bad,False,True
628,36,male,2,own,quite rich,NA,4042,42,furniture/equipment,good,False,True
629,64,male,1,own,NA,NA,3832,9,education,good,True,True
630,28,female,2,own,little,little,3660,24,radio/TV,good,False,True
631,44,male,2,own,little,little,1553,18,furniture/equipment,bad,False,False
632,23,male,2,own,NA,moderate,1444,15,radio/TV,good,True,True
633,19,female,2,rent,little,NA,1980,9,furniture/equipment,bad,False,False
634,25,female,1,own,little,moderate,1355,24,car,bad,False,False
635,47,male,2,own,little,NA,1393,12,education,good,True,True
636,28,female,2,own,quite rich,NA,1376,24,radio/TV,good,False,True
637,21,male,2,own,little,NA,15653,60,radio/TV,good,False,False
638,34,female,2,own,little,NA,1493,12,radio/TV,good,True,True
639,26,male,2,own,little,little,4370,42,radio/TV,bad,False,False
640,27,female,0,own,little,little,750,18,education,bad,False,False
641,38,male,1,own,little,moderate,1308,15,repairs,good,True,True
642,40,male,3,own,moderate,NA,4623,15,education,bad,False,True
643,33,male,2,own,little,NA,1851,24,radio/TV,good,False,True
644,32,male,3,own,little,little,1880,18,radio/TV,good,True,True
645,27,male,2,rent,NA,NA,7980,36,business,bad,False,False
646,32,male,2,own,little,little,4583,30,furniture/equipment,good,False,True
647,26,female,2,own,quite rich,NA,1386,12,car,bad,False,False
648,38,male,2,free,little,rich,947,24,car,bad,False,False
649,40,male,1,rent,little,little,684,12,education,bad,False,False
650,50,male,3,free,little,little,7476,48,education,good,False,False
651,37,male,1,own,little,moderate,1922,12,furniture/equipment,bad,False,False
652,45,male,2,own,little,little,2303,24,car,bad,False,False
653,42,male,3,own,moderate,moderate,8086,36,car,bad,False,True
654,35,male,2,own,little,NA,2346,24,car,good,False,True
655,22,male,2,free,little,little,3973,14,car,good,False,True
656,41,male,1,own,little,moderate,888,12,car,bad,False,False
657,37,male,2,own,NA,NA,10222,48,radio/TV,good,False,False
658,28,female,2,own,little,moderate,4221,30,business,good,False,True
659,41,male,2,own,little,moderate,6361,18,furniture/equipment,good,False,True
660,23,male,2,rent,little,rich,1297,12,radio/TV,good,True,True
661,23,male,2,own,NA,little,900,12,car,bad,False,False
662,50,male,2,own,little,NA,2241,21,furniture/equipment,good,True,True
663,35,male,3,own,little,moderate,1050,6,furniture/equipment,good,True,True
664,50,female,1,own,little,rich,1047,6,education,good,True,True
665,27,male,3,own,little,NA,6314,24,vacation/others,good,False,True
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment,good,True,True
667,27,female,2,own,little,NA,3609,48,business,good,False,True
668,43,male,2,rent,little,little,4843,12,car,bad,False,False
669,47,male,2,own,little,rich,3017,30,radio/TV,good,True,True
670,27,male,1,own,moderate,NA,4139,24,business,good,True,True
671,31,male,2,own,moderate,NA,5742,36,business,good,True,True
672,42,male,3,own,little,NA,10366,60,car,good,False,False
673,24,male,2,own,quite rich,NA,2080,6,car,good,True,True
674,41,male,1,own,quite rich,NA,2580,21,business,bad,False,False
675,26,female,3,rent,little,NA,4530,30,radio/TV,good,False,True
676,33,male,2,own,little,NA,5150,24,furniture/equipment,good,False,True
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,bad,False,True
678,64,male,1,rent,little,little,2384,24,radio/TV,good,True,True
679,26,female,2,own,little,NA,1453,18,radio/TV,good,True,True
680,56,female,2,own,little,NA,1538,6,education,good,True,True
681,37,male,2,free,NA,NA,2279,12,radio/TV,good,True,True
682,33,male,2,own,little,NA,1478,15,radio/TV,good,True,True
683,47,male,2,free,little,NA,5103,24,radio/TV,good,True,True
684,31,male,1,own,moderate,moderate,9857,36,business,good,False,False
685,34,male,2,free,NA,NA,6527,60,car,good,False,True
686,27,male,2,own,NA,rich,1347,10,radio/TV,good,True,True
687,30,male,2,free,moderate,moderate,2862,36,car,good,True,True
688,35,male,2,own,moderate,NA,2753,9,radio/TV,good,True,True
689,31,male,2,own,rich,little,3651,12,car,good,True,True
690,25,male,2,own,little,little,975,15,furniture/equipment,good,True,True
691,25,female,1,own,moderate,moderate,2631,15,repairs,good,True,True
692,29,male,2,own,moderate,moderate,2896,24,radio/TV,good,True,True
693,44,male,1,own,NA,little,4716,6,car,good,True,True
694,28,male,2,own,little,NA,2284,24,radio/TV,good,False,True
695,50,male,2,rent,quite rich,NA,1236,6,car,good,True,True
696,29,male,2,own,little,moderate,1103,12,radio/TV,good,True,True
697,38,female,0,own,little,NA,926,12,car,good,True,True
698,24,male,2,own,little,NA,1800,18,radio/TV,good,True,True
699,40,male,3,rent,little,rich,1905,15,education,good,True,True
700,29,female,1,rent,quite rich,NA,1123,12,furniture/equipment,bad,False,False
701,46,male,2,free,little,little,6331,48,car,bad,False,False
702,47,female,2,free,moderate,rich,1377,24,radio/TV,good,True,True
703,41,male,2,own,moderate,moderate,2503,30,business,good,True,True
704,32,female,2,own,little,moderate,2528,27,business,good,False,True
705,35,female,2,free,quite rich,NA,5324,15,car,good,True,True
706,24,male,2,own,moderate,moderate,6560,48,car,bad,False,True
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,bad,False,False
708,25,female,2,own,little,moderate,1206,9,radio/TV,good,True,True
709,37,male,1,own,little,moderate,2118,9,radio/TV,good,True,True
710,32,male,3,own,quite rich,NA,629,18,radio/TV,good,True,True
711,35,female,2,free,little,little,1198,6,education,bad,False,False
712,46,male,3,own,NA,NA,2476,21,car,good,True,True
713,25,male,1,own,little,little,1138,9,radio/TV,good,True,True
714,27,male,3,own,little,moderate,14027,60,car,bad,False,False
715,63,male,2,own,NA,NA,7596,30,car,good,False,False
716,40,male,2,own,NA,NA,3077,30,radio/TV,good,False,True
717,32,male,3,free,little,NA,1505,18,radio/TV,good,True,True
718,31,male,2,own,NA,rich,3148,24,radio/TV,good,False,True
719,31,male,2,own,moderate,moderate,6148,20,car,good,False,True
720,34,male,3,own,little,rich,1337,9,radio/TV,bad,False,False
721,24,female,2,rent,rich,moderate,433,6,education,bad,False,True
722,24,female,1,own,little,little,1228,12,car,bad,False,False
723,66,female,1,own,quite rich,moderate,790,9,radio/TV,good,True,True
724,21,female,2,rent,little,NA,2570,27,car,bad,False,False
725,41,female,1,own,rich,NA,250,6,car,good,True,True
726,47,male,1,own,quite rich,NA,1316,15,radio/TV,good,True,True
727,25,female,2,rent,little,little,1882,18,radio/TV,bad,False,False
728,59,female,2,rent,little,moderate,6416,48,business,bad,False,False
729,36,male,2,own,rich,rich,1275,24,business,good,True,True
730,33,male,2,own,little,moderate,6403,24,radio/TV,good,False,True
731,21,male,1,rent,little,little,1987,24,radio/TV,bad,False,False
732,44,female,1,own,little,moderate,760,8,radio/TV,good,True,True
733,28,female,2,rent,rich,NA,2603,24,car,good,True,True
734,37,female,2,own,little,NA,3380,4,car,good,True,True
735,29,female,0,own,NA,moderate,3990,36,domestic appliances,good,False,True
736,23,female,3,rent,little,moderate,11560,24,car,bad,False,False
737,35,male,1,own,moderate,little,4380,18,car,good,True,True
738,45,male,3,own,little,NA,6761,6,car,good,True,True
739,26,female,1,rent,moderate,moderate,4280,30,business,bad,False,True
740,32,male,2,own,moderate,little,2325,24,car,good,True,True
741,23,male,1,own,little,moderate,1048,10,radio/TV,good,True,True
742,41,male,2,own,NA,NA,3160,21,radio/TV,good,True,True
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment,good,False,True
744,30,male,3,own,NA,little,14179,39,furniture/equipment,good,False,False
745,28,male,1,own,little,little,1797,13,business,good,True,True
746,23,female,2,rent,little,little,2511,15,car,good,True,True
747,37,female,1,own,little,little,1274,12,car,bad,False,False
748,26,male,2,own,NA,NA,5248,21,car,good,True,True
749,33,male,2,own,little,NA,3029,15,car,good,True,True
750,49,female,2,own,little,little,428,6,furniture/equipment,good,True,True
751,23,female,1,own,little,little,976,18,car,bad,False,False
752,23,female,1,rent,moderate,moderate,841,12,business,good,True,True
753,25,female,2,own,little,NA,5771,30,radio/TV,good,False,True
754,55,male,2,free,rich,NA,1555,12,repairs,bad,True,True
755,32,female,2,rent,NA,little,1285,24,car,bad,False,False
756,74,male,0,own,little,rich,1299,6,car,good,True,True
757,39,male,2,free,NA,rich,1271,15,radio/TV,bad,False,False
758,31,male,2,own,little,NA,1393,24,car,good,False,True
759,35,male,2,own,little,little,691,12,car,bad,False,False
760,59,female,2,own,NA,NA,5045,15,car,good,True,True
761,24,female,2,rent,little,little,2124,18,furniture/equipment,bad,False,False
762,24,male,1,own,little,little,2214,12,radio/TV,good,True,True
763,30,male,3,free,NA,NA,12680,21,car,bad,False,False
764,27,male,2,own,moderate,NA,2463,24,car,good,True,True
765,40,male,1,own,little,moderate,1155,12,radio/TV,good,True,True
766,31,male,1,own,little,little,3108,30,furniture/equipment,bad,False,False
767,31,female,2,rent,NA,NA,2901,10,car,good,True,True
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment,good,True,True
769,63,male,1,own,little,NA,1655,12,radio/TV,good,True,True
770,26,female,2,rent,NA,little,2812,24,car,good,False,True
771,25,female,3,own,little,little,8065,36,education,bad,False,False
772,36,male,3,own,little,NA,3275,21,car,good,True,True
773,52,male,2,own,moderate,NA,2223,24,radio/TV,good,True,True
774,66,male,0,free,quite rich,rich,1480,12,car,good,True,True
775,25,female,2,rent,NA,little,1371,24,car,bad,False,False
776,37,male,2,own,little,NA,3535,36,car,good,False,True
777,25,female,2,own,little,little,3509,18,radio/TV,good,False,True
778,38,male,3,own,rich,NA,5711,36,car,good,True,True
779,67,female,2,own,little,moderate,3872,18,repairs,good,True,True
780,25,male,2,own,little,moderate,4933,39,radio/TV,bad,False,False
781,60,male,2,own,rich,NA,1940,24,car,good,True,True
782,31,male,1,own,little,moderate,1410,12,education,good,True,True
783,23,female,1,own,moderate,moderate,836,12,car,bad,False,True
784,60,male,3,own,NA,moderate,6468,20,car,good,False,True
785,35,male,1,own,rich,moderate,1941,18,business,good,True,True
786,40,male,2,own,quite rich,NA,2675,22,radio/TV,good,True,True
787,38,male,2,own,NA,NA,2751,48,car,good,False,True
788,50,male,2,free,little,moderate,6224,48,education,bad,False,False
789,27,male,2,own,little,little,5998,40,education,bad,False,False
790,39,female,2,own,little,moderate,1188,21,business,bad,False,False
791,41,male,3,own,NA,NA,6313,24,car,good,False,True
792,27,male,2,own,NA,NA,1221,6,furniture/equipment,good,True,True
793,51,male,2,free,little,rich,2892,24,furniture/equipment,good,True,True
794,32,male,2,rent,quite rich,NA,3062,24,furniture/equipment,good,False,True
795,22,female,2,rent,moderate,NA,2301,9,furniture/equipment,good,True,True
796,51,male,2,free,NA,little,7511,18,car,bad,False,False
797,22,female,1,rent,little,NA,1258,12,furniture/equipment,good,True,True
798,54,male,2,own,NA,NA,717,24,car,good,True,True
799,35,male,0,own,NA,moderate,1549,9,car,good,True,True
800,54,male,2,free,little,NA,1597,24,education,good,True,True
801,48,female,1,rent,little,moderate,1795,18,radio/TV,good,True,True
802,24,female,2,own,little,little,4272,20,furniture/equipment,good,False,True
803,35,male,2,own,NA,NA,976,12,radio/TV,good,True,True
804,24,female,0,rent,NA,moderate,7472,12,car,good,False,True
805,24,male,2,own,little,little,9271,36,car,bad,False,False
806,26,male,1,own,little,moderate,590,6,radio/TV,good,True,True
807,65,male,2,own,NA,NA,930,12,radio/TV,good,True,True
808,55,male,3,free,little,moderate,9283,42,car,good,False,False
809,26,female,0,rent,little,moderate,1778,15,car,bad,False,False
810,26,male,2,own,little,moderate,907,8,business,good,True,True
811,28,male,1,own,little,moderate,484,6,radio/TV,good,True,True
812,24,male,2,own,little,little,9629,36,car,bad,False,False
813,54,male,2,own,little,little,3051,48,domestic appliances,bad,False,False
814,46,male,2,free,little,little,3931,48,car,bad,False,False
815,54,female,2,rent,little,moderate,7432,36,car,good,False,False
816,62,male,2,own,quite rich,NA,1338,6,domestic appliances,good,True,True
817,24,female,2,rent,little,NA,1554,6,radio/TV,good,True,True
818,43,male,3,own,little,little,15857,36,vacation/others,good,False,False
819,26,male,2,own,little,little,1345,18,radio/TV,bad,False,False
820,27,male,2,own,little,NA,1101,12,car,good,True,True
821,24,male,2,own,little,rich,3016,12,radio/TV,good,False,True
822,41,male,2,own,little,little,2712,36,furniture/equipment,bad,False,False
823,47,male,1,own,little,little,731,8,car,good,True,True
824,35,male,3,own,little,NA,3780,18,furniture/equipment,good,True,True
825,30,male,2,own,little,little,1602,21,car,good,True,True
826,33,female,2,rent,little,little,3966,18,car,bad,False,False
827,36,male,2,own,little,NA,4165,18,business,bad,False,False
828,47,male,2,free,NA,little,8335,36,car,bad,False,False
829,38,male,2,free,NA,moderate,6681,48,business,good,False,True
830,44,male,2,own,quite rich,NA,2375,24,business,good,True,True
831,23,female,2,rent,little,little,1216,18,car,bad,False,False
832,29,male,2,rent,little,little,11816,45,business,bad,False,False
833,42,female,2,own,NA,moderate,5084,24,radio/TV,good,True,True
834,25,female,1,own,little,rich,2327,15,radio/TV,bad,False,False
835,48,male,2,own,little,little,1082,12,car,bad,False,False
836,21,female,2,own,NA,NA,886,12,radio/TV,good,True,True
837,23,female,1,rent,little,NA,601,4,furniture/equipment,good,True,True
838,63,male,2,own,little,little,2957,24,car,good,True,True
839,46,male,2,own,little,NA,2611,24,radio/TV,good,True,True
840,29,male,2,own,little,little,5179,36,furniture/equipment,bad,False,False
841,28,male,1,own,little,NA,2993,21,car,good,True,True
842,23,female,2,own,little,NA,1943,18,repairs,bad,False,False
843,50,male,2,own,little,NA,1559,24,business,good,True,True
844,47,male,2,own,little,NA,3422,18,furniture/equipment,good,True,True
845,35,male,2,own,NA,moderate,3976,21,furniture/equipment,good,True,True
846,68,male,2,rent,NA,NA,6761,18,car,bad,False,False
847,28,male,2,own,little,NA,1249,24,car,good,False,True
848,59,male,2,own,little,little,1364,9,radio/TV,good,True,True
849,57,male,1,own,little,little,709,12,radio/TV,bad,False,False
850,33,male,2,rent,little,little,2235,20,car,bad,False,False
851,43,male,2,own,NA,NA,4042,24,car,good,True,True
852,35,male,2,free,little,NA,1471,15,radio/TV,good,True,True
853,32,male,1,free,little,little,1442,18,car,bad,False,False
854,45,male,2,own,little,NA,10875,36,car,good,False,False
855,33,male,2,own,moderate,NA,1474,24,car,good,True,True
856,40,female,2,own,NA,NA,894,10,education,good,True,True
857,28,male,2,free,little,NA,3343,15,furniture/equipment,good,True,True
858,29,female,2,own,little,little,3959,15,car,bad,False,False
859,26,male,2,rent,moderate,NA,3577,9,car,good,True,True
860,27,male,2,own,rich,NA,5804,24,car,good,True,True
861,28,male,2,own,little,NA,2169,18,business,bad,False,False
862,35,female,2,own,little,little,2439,24,radio/TV,bad,False,False
863,32,male,1,own,rich,NA,4526,27,furniture/equipment,good,True,True
864,25,male,1,rent,little,NA,2210,10,furniture/equipment,bad,False,False
865,20,female,2,rent,quite rich,NA,2221,15,furniture/equipment,good,True,True
866,27,female,2,own,little,little,2389,18,radio/TV,good,True,True
867,42,male,2,own,little,NA,3331,12,furniture/equipment,good,True,True
868,37,male,2,own,NA,NA,7409,36,business,good,False,False
869,24,female,2,rent,little,little,652,12,furniture/equipment,good,True,True
870,40,female,2,own,quite rich,NA,7678,36,furniture/equipment,good,False,False
871,46,male,2,own,little,rich,1343,6,car,good,True,True
872,26,male,2,own,moderate,little,1382,24,business,good,True,True
873,24,female,2,own,NA,NA,874,15,domestic appliances,good,True,True
874,29,male,1,own,little,little,3590,12,furniture/equipment,good,True,True
875,40,female,2,own,rich,moderate,1322,11,car,good,True,True
876,36,male,3,free,little,little,1940,18,radio/TV,good,True,True
877,28,male,2,own,little,NA,3595,36,radio/TV,good,False,True
878,27,male,3,free,little,little,1422,9,car,bad,False,False
879,36,male,2,own,NA,NA,6742,30,radio/TV,good,False,True
880,38,male,3,own,little,NA,7814,24,car,good,False,True
881,48,male,2,free,NA,NA,9277,24,car,good,False,True
882,36,male,2,own,NA,moderate,2181,30,car,good,False,True
883,65,female,0,own,little,NA,1098,18,radio/TV,good,True,True
884,43,male,2,own,little,moderate,4057,24,furniture/equipment,bad,False,False
885,53,female,2,own,little,little,795,12,education,bad,False,False
